SortCode,AccountNumber,Amount,Reference,Name
123456,12345678,34000.5,Coke-1111,Coca Cola Ltd
123456,12345678,34324,coke-2222,Coca Cola Ltd
123456,12345678,24242,Ecom-2223,Ecom ltd
123456,12345678,12434,Jojo-2224,Jojo Decorations
123456,12345678,64646,Yummy-2225,Yummy Cakes
123456,12345678,2312,Moon-2226,Moon Pig
123456,12345678,1,Moon-2226,Moon Pig
123456,12345678,242,Tiger-2227,Tiger
123456,12345678,20000000,BingeFilms-2228,BingeFilms
123456,12345678,4224,Ridicuile-2229,Ridicuile
123456,12345678,131,Shell-2230,Shell
123456,12345678,34324,Eclipse-2231,Eclipse Holidays
